timestamp,total load actual,total load forecast
2015-01-01 00:00:00,25385.0,26118.0
2015-01-01 01:00:00,24382.0,24934.0
2015-01-01 02:00:00,22734.0,23515.0
2015-01-01 03:00:00,21286.0,22642.0
2015-01-01 04:00:00,20264.0,21785.0
2015-01-01 05:00:00,19905.0,21441.0
2015-01-01 06:00:00,20010.0,21285.0
2015-01-01 07:00:00,20377.0,21545.0
2015-01-01 08:00:00,20094.0,21443.0
2015-01-01 09:00:00,20637.0,21560.0
2015-01-01 10:00:00,22250.0,22824.0
2015-01-01 11:00:00,23547.0,23720.0
2015-01-01 12:00:00,24133.0,24180.0
2015-01-01 13:00:00,24713.0,24797.0
2015-01-01 14:00:00,24672.0,25222.0
2015-01-01 15:00:00,23528.0,24173.0
2015-01-01 16:00:00,23118.0,23659.0
2015-01-01 17:00:00,23606.0,23982.0
2015-01-01 18:00:00,26447.0,26981.0
2015-01-01 19:00:00,28020.0,28515.0
2015-01-01 20:00:00,29014.0,30482.0
2015-01-01 21:00:00,29571.0,30739.0
2015-01-01 22:00:00,29031.0,29756.0
2015-01-01 23:00:00,26798.0,27589.0
2015-01-02 00:00:00,27070.0,27309.0
2015-01-02 01:00:00,24935.0,25397.0
2015-01-02 02:00:00,23214.0,23640.0
2015-01-02 03:00:00,22540.0,22638.0
2015-01-02 04:00:00,22096.0,22238.0
2015-01-02 05:00:00,22066.0,22299.0
2015-01-02 06:00:00,22275.0,22660.0
2015-01-02 07:00:00,23025.0,23449.0
2015-01-02 08:00:00,23699.0,24067.0
2015-01-02 09:00:00,25834.0,25737.0
2015-01-02 10:00:00,27927.0,27883.0
2015-01-02 11:00:00,29072.0,28969.0
2015-01-02 12:00:00,29071.0,28894.0
2015-01-02 13:00:00,29439.0,29460.0
2015-01-02 14:00:00,29241.0,29389.0
2015-01-02 15:00:00,27973.0,28231.0
2015-01-02 16:00:00,27320.0,27716.0
2015-01-02 17:00:00,27157.0,27981.0
2015-01-02 18:00:00,29045.0,30136.0
2015-01-02 19:00:00,31967.0,32754.0
2015-01-02 20:00:00,33266.0,33968.0
2015-01-02 21:00:00,33668.0,33870.0
2015-01-02 22:00:00,32426.0,32715.0
2015-01-02 23:00:00,29705.0,30052.0
2015-01-03 00:00:00,25564.0,26323.0
2015-01-03 01:00:00,23584.0,24301.0
2015-01-03 02:00:00,22194.0,22651.0
2015-01-03 03:00:00,21296.0,21785.0
2015-01-03 04:00:00,21145.0,21418.0
2015-01-03 05:00:00,21316.0,21317.0
2015-01-03 06:00:00,21674.0,21768.0
2015-01-03 07:00:00,22127.0,22276.0
2015-01-03 08:00:00,22756.0,22674.0
2015-01-03 09:00:00,24654.0,24595.0
2015-01-03 10:00:00,26454.0,26431.0
2015-01-03 11:00:00,26959.0,27260.0
2015-01-03 12:00:00,26716.0,27165.0
2015-01-03 13:00:00,26802.0,27449.0
2015-01-03 14:00:00,26416.0,27154.0
2015-01-03 15:00:00,25362.0,26011.0
2015-01-03 16:00:00,24770.0,25162.0
2015-01-03 17:00:00,24501.0,24691.0
2015-01-03 18:00:00,24992.0,25293.0
2015-01-03 19:00:00,27964.0,28421.0
2015-01-03 20:00:00,29694.0,30293.0
2015-01-03 21:00:00,29874.0,30828.0
2015-01-03 22:00:00,28979.0,29896.0
2015-01-03 23:00:00,26863.0,27700.0
2015-01-04 00:00:00,25254.0,25481.0
2015-01-04 01:00:00,23620.0,23734.0
2015-01-04 02:00:00,22606.0,22658.0
2015-01-04 03:00:00,22191.0,22130.0
2015-01-04 04:00:00,21929.0,21879.0
2015-01-04 05:00:00,22195.0,22230.0
2015-01-04 06:00:00,24035.0,23903.0
2015-01-04 07:00:00,26807.0,26742.0
2015-01-04 08:00:00,28316.0,28481.0
2015-01-04 09:00:00,29871.0,29705.0
2015-01-04 10:00:00,30585.0,30656.0
2015-01-04 11:00:00,30772.0,30717.0
2015-01-04 12:00:00,30685.0,30616.0
2015-01-04 13:00:00,30429.0,30287.0
2015-01-04 14:00:00,28741.0,29451.0
2015-01-04 15:00:00,28249.0,28730.0
2015-01-04 16:00:00,28105.0,28393.0
2015-01-04 17:00:00,27908.0,28062.0
2015-01-04 18:00:00,27577.0,27317.0
2015-01-04 19:00:00,27418.0,27189.0
2015-01-04 20:00:00,28604.0,28914.0
2015-01-04 21:00:00,30346.0,30333.0
2015-01-04 22:00:00,28190.0,28341.0
2015-01-04 23:00:00,26270.0,26412.0
2015-01-05 00:00:00,25069.0,25149.0
2015-01-05 01:00:00,23390.0,23630.0
2015-01-05 02:00:00,21988.0,22590.0
2015-01-05 03:00:00,21182.0,21912.0
2015-01-05 04:00:00,20778.0,21369.0
2015-01-05 05:00:00,20309.0,20723.0
2015-01-05 06:00:00,20252.0,20498.0
2015-01-05 07:00:00,19964.0,19736.0
2015-01-05 08:00:00,20796.0,19970.0
2015-01-05 09:00:00,22478.0,21590.0
2015-01-05 10:00:00,23834.0,22987.0
2015-01-05 11:00:00,24429.0,23271.0
2015-01-05 12:00:00,24066.0,23209.0
2015-01-05 13:00:00,23703.0,23725.0
2015-01-05 14:00:00,23340.0,23614.0
2015-01-05 15:00:00,22977.0,22381.0
2015-01-05 16:00:00,22614.0,21371.0
2015-01-05 17:00:00,22251.0,20760.0
2015-01-05 18:00:00,21888.0,20654.0
2015-01-05 19:00:00,22048.0,20904.0
2015-01-05 20:00:00,22858.0,22334.0
2015-01-05 21:00:00,25604.0,25504.0
2015-01-05 22:00:00,25381.0,25938.0
2015-01-05 23:00:00,23822.0,23892.0
2015-01-06 00:00:00,23711.0,24086.0
2015-01-06 01:00:00,22354.0,22554.0
2015-01-06 02:00:00,21546.0,21566.0
2015-01-06 03:00:00,21171.0,21211.0
2015-01-06 04:00:00,21042.0,21074.0
2015-01-06 05:00:00,21618.0,21579.0
2015-01-06 06:00:00,23433.0,23250.0
2015-01-06 07:00:00,25885.0,25560.0
2015-01-06 08:00:00,28456.0,27900.0
2015-01-06 09:00:00,29708.0,29463.0
2015-01-06 10:00:00,30887.0,30133.0
2015-01-06 11:00:00,31409.0,30558.0
2015-01-06 12:00:00,31947.0,31035.0
2015-01-06 13:00:00,32078.0,31154.0
2015-01-06 14:00:00,31193.0,30381.0
2015-01-06 15:00:00,30542.0,29581.0
2015-01-06 16:00:00,30591.0,29085.0
2015-01-06 17:00:00,30799.0,29155.0
2015-01-06 18:00:00,30481.0,28943.0
2015-01-06 19:00:00,30147.0,29013.0
2015-01-06 20:00:00,30120.0,29307.0
2015-01-06 21:00:00,30747.0,29896.0
2015-01-06 22:00:00,29978.0,29310.0
2015-01-06 23:00:00,27421.0,26817.0
2015-01-07 00:00:00,30518.0,30239.0
2015-01-07 01:00:00,28484.0,28031.0
2015-01-07 02:00:00,27026.0,26635.0
2015-01-07 03:00:00,26248.0,26076.0
2015-01-07 04:00:00,25838.0,25734.0
2015-01-07 05:00:00,26021.0,25889.0
2015-01-07 06:00:00,26992.0,27135.0
2015-01-07 07:00:00,28625.0,29269.0
2015-01-07 08:00:00,31015.0,31596.0
2015-01-07 09:00:00,33276.0,33540.0
2015-01-07 10:00:00,34221.0,34919.0
2015-01-07 11:00:00,34796.0,35376.0
2015-01-07 12:00:00,35535.0,36279.0
2015-01-07 13:00:00,35752.0,36886.0
2015-01-07 14:00:00,35605.0,36199.0
2015-01-07 15:00:00,36020.0,35918.0
2015-01-07 16:00:00,36066.0,36366.0
2015-01-07 17:00:00,36195.0,36676.0
2015-01-07 18:00:00,35739.0,36275.0
2015-01-07 19:00:00,35188.0,35664.0
2015-01-07 20:00:00,34470.0,34828.0
2015-01-07 21:00:00,33716.0,34241.0
2015-01-07 22:00:00,32697.0,33972.0
2015-01-07 23:00:00,30477.0,32057.0
2015-01-08 00:00:00,26788.0,27766.0
2015-01-08 01:00:00,25146.0,26176.0
2015-01-08 02:00:00,23889.0,24974.0
2015-01-08 03:00:00,23046.0,24173.0
2015-01-08 04:00:00,22587.0,23779.0
2015-01-08 05:00:00,22361.0,23503.0
2015-01-08 06:00:00,22551.0,23493.0
2015-01-08 07:00:00,22543.0,23562.0
2015-01-08 08:00:00,24042.0,24929.0
2015-01-08 09:00:00,25932.0,27227.0
2015-01-08 10:00:00,27664.0,29193.0
2015-01-08 11:00:00,28448.0,29950.0
2015-01-08 12:00:00,28881.0,30333.0
2015-01-08 13:00:00,29329.0,30711.0
2015-01-08 14:00:00,29026.0,30055.0
2015-01-08 15:00:00,28237.0,29123.0
2015-01-08 16:00:00,27868.0,28632.0
2015-01-08 17:00:00,27654.0,28356.0
2015-01-08 18:00:00,27507.0,28124.0
2015-01-08 19:00:00,27544.0,27922.0
2015-01-08 20:00:00,27578.0,27925.0
2015-01-08 21:00:00,28222.0,28578.0
2015-01-08 22:00:00,28221.0,28862.0
2015-01-08 23:00:00,26436.0,27334.0
2015-01-09 00:00:00,27485.0,27430.0
2015-01-09 01:00:00,25750.0,25783.0
2015-01-09 02:00:00,24760.0,24718.0
2015-01-09 03:00:00,24188.0,24185.0
2015-01-09 04:00:00,23840.0,23980.0
2015-01-09 05:00:00,24030.0,24139.0
2015-01-09 06:00:00,25965.0,25737.0
2015-01-09 07:00:00,28266.0,27995.0
2015-01-09 08:00:00,29981.0,29747.0
2015-01-09 09:00:00,31932.0,31824.0
2015-01-09 10:00:00,33325.0,33063.0
2015-01-09 11:00:00,34144.0,33748.0
2015-01-09 12:00:00,35040.0,34392.0
2015-01-09 13:00:00,35524.0,34891.0
2015-01-09 14:00:00,34579.0,33853.0
2015-01-09 15:00:00,33792.0,32981.0
2015-01-09 16:00:00,33768.0,32846.0
2015-01-09 17:00:00,33696.0,32833.0
2015-01-09 18:00:00,33154.0,32283.0
2015-01-09 19:00:00,32440.0,31942.0
2015-01-09 20:00:00,32384.0,32045.0
2015-01-09 21:00:00,33976.0,33356.0
2015-01-09 22:00:00,31420.0,31269.0
2015-01-09 23:00:00,28825.0,28845.0
2015-01-10 00:00:00,24899.0,24575.0
2015-01-10 01:00:00,23505.0,23348.0
2015-01-10 02:00:00,22589.0,22480.0
2015-01-10 03:00:00,22177.0,22330.0
2015-01-10 04:00:00,22025.0,22165.0
2015-01-10 05:00:00,22426.0,22491.0
2015-01-10 06:00:00,24361.0,24284.0
2015-01-10 07:00:00,27890.0,27772.0
2015-01-10 08:00:00,29335.0,29263.0
2015-01-10 09:00:00,29951.0,29664.0
2015-01-10 10:00:00,30452.0,30369.0
2015-01-10 11:00:00,30856.0,30650.0
2015-01-10 12:00:00,31449.0,30964.0
2015-01-10 13:00:00,31218.0,30930.0
2015-01-10 14:00:00,30458.0,29821.0
2015-01-10 15:00:00,29836.0,29284.0
2015-01-10 16:00:00,29781.0,29705.0
2015-01-10 17:00:00,29929.0,29953.0
2015-01-10 18:00:00,29638.0,29914.0
2015-01-10 19:00:00,29950.0,29920.0
2015-01-10 20:00:00,32244.0,32363.0
2015-01-10 21:00:00,31900.0,31869.0
2015-01-10 22:00:00,28690.0,28549.0
2015-01-10 23:00:00,26219.0,26142.0
2015-01-11 00:00:00,22460.0,22654.0
2015-01-11 01:00:00,21033.0,21215.0
2015-01-11 02:00:00,19977.0,20177.0
2015-01-11 03:00:00,19389.0,19623.0
2015-01-11 04:00:00,19126.0,19453.0
2015-01-11 05:00:00,19199.0,19430.0
2015-01-11 06:00:00,19404.0,19825.0
2015-01-11 07:00:00,19500.0,20080.0
2015-01-11 08:00:00,20182.0,20529.0
2015-01-11 09:00:00,22121.0,22303.0
2015-01-11 10:00:00,23589.0,23863.0
2015-01-11 11:00:00,24238.0,24372.0
2015-01-11 12:00:00,24271.0,24563.0
2015-01-11 13:00:00,24713.0,24976.0
2015-01-11 14:00:00,24477.0,24827.0
2015-01-11 15:00:00,23377.0,23696.0
2015-01-11 16:00:00,23037.0,23021.0
2015-01-11 17:00:00,23049.0,23123.0
2015-01-11 18:00:00,25259.0,25036.0
2015-01-11 19:00:00,26520.0,26555.0
2015-01-11 20:00:00,27123.0,26981.0
2015-01-11 21:00:00,27025.0,27054.0
2015-01-11 22:00:00,25889.0,25990.0
2015-01-11 23:00:00,23940.0,23997.0
2015-01-12 00:00:00,27085.0,27051.0
2015-01-12 01:00:00,25272.0,25157.0
2015-01-12 02:00:00,24121.0,24059.0
2015-01-12 03:00:00,23626.0,23630.0
2015-01-12 04:00:00,23572.0,23522.0
2015-01-12 05:00:00,24070.0,24139.0
2015-01-12 06:00:00,26787.0,26643.0
2015-01-12 07:00:00,31511.0,31303.0
2015-01-12 08:00:00,34046.0,34166.0
2015-01-12 09:00:00,34876.0,34902.0
2015-01-12 10:00:00,35093.0,35302.0
2015-01-12 11:00:00,34588.0,34926.0
2015-01-12 12:00:00,34347.0,34461.0
2015-01-12 13:00:00,34146.0,34077.0
2015-01-12 14:00:00,32884.0,32951.0
2015-01-12 15:00:00,32422.0,32532.0
2015-01-12 16:00:00,32502.0,32380.0
2015-01-12 17:00:00,33509.0,33392.0
2015-01-12 18:00:00,35896.0,36018.0
2015-01-12 19:00:00,36615.0,36757.0
2015-01-12 20:00:00,36704.0,36901.0
2015-01-12 21:00:00,35823.0,35903.0
2015-01-12 22:00:00,32932.0,32853.0
2015-01-12 23:00:00,29695.0,29696.0
2015-01-13 00:00:00,28033.0,28161.0
2015-01-13 01:00:00,25750.0,25814.0
2015-01-13 02:00:00,24517.0,24609.0
2015-01-13 03:00:00,23911.0,24062.0
2015-01-13 04:00:00,23876.0,23903.0
2015-01-13 05:00:00,24445.0,24462.0
2015-01-13 06:00:00,27027.0,27029.0
2015-01-13 07:00:00,31924.0,31669.0
2015-01-13 08:00:00,35351.0,35277.0
2015-01-13 09:00:00,36288.0,36330.0
2015-01-13 10:00:00,36612.0,36982.0
2015-01-13 11:00:00,36296.0,36787.0
2015-01-13 12:00:00,35645.0,36279.0
2015-01-13 13:00:00,35172.0,35781.0
2015-01-13 14:00:00,33895.0,34485.0
2015-01-13 15:00:00,33283.0,33826.0
2015-01-13 16:00:00,33030.0,33745.0
2015-01-13 17:00:00,33542.0,34067.0
2015-01-13 18:00:00,35944.0,36388.0
2015-01-13 19:00:00,37553.0,37797.0
2015-01-13 20:00:00,37604.0,37691.0
2015-01-13 21:00:00,36831.0,36952.0
2015-01-13 22:00:00,33972.0,34327.0
2015-01-13 23:00:00,30733.0,31228.0
2015-01-14 00:00:00,28057.0,28401.0
2015-01-14 01:00:00,25764.0,25944.0
2015-01-14 02:00:00,24495.0,24597.0
